hex_id,D1,D2,D3,D4,D5,D6
407,SaLo,SaClLo,SaClLo,SaCl,SaCl,SaCl
408,SaLo,SaLo,SaLo,SaLo,SaLo,SaLo
409,SaLo,SaLo,SaLo,SaLo,SaLo,SaLo
410,SaLo,SaLo,SaLo,SaLo,SaLo,SaLo
411,Sa,Sa,Sa,LoSa,LoSa,LoSa
412,SaLo,SaLo,SaClLo,SaClLo,SaClLo,SaClLo
413,SaLo,SaLo,SaClLo,SaClLo,SaClLo,SaClLo
414,SaLo,SaLo,SaClLo,SaClLo,SaClLo,SaClLo
415,SaLo,SaLo,SaClLo,SaClLo,SaClLo,SaClLo
416,SaLo,SaLo,SaClLo,SaClLo,SaClLo,SaClLo
417,SaLo,SaLo,SaLo,SaLo,SaLo,SaLo
418,SaLo,SaLo,SaLo,SaLo,SaLo,SaLo
419,SaLo,SaLo,SaLo,SaLo,SaLo,SaLo
420,SaLo,SaLo,SaLo,SaLo,SaLo,SaLo
421,SaLo,SaLo,SaLo,SaLo,SaLo,SaLo
422,Sa,Sa,Sa,LoSa,LoSa,LoSa
423,SaLo,SaLo,SaLo,SaLo,SaLo,SaLo
424,SaLo,SaLo,SaClLo,SaClLo,SaClLo,SaClLo
425,SaLo,SaLo,SaClLo,SaClLo,SaClLo,SaClLo
426,SaLo,SaLo,SaClLo,SaClLo,SaClLo,SaClLo
427,SaLo,SaLo,SaClLo,SaClLo,SaClLo,SaClLo
428,SaLo,SaLo,SaClLo,SaClLo,SaClLo,SaClLo
429,SaLo,SaLo,SaLo,SaLo,SaLo,SaLo
430,SaLo,SaLo,SaLo,SaLo,SaLo,SaLo
431,SaLo,SaLo,SaLo,SaLo,SaLo,SaLo
432,SaLo,SaLo,SaLo,SaLo,SaLo,SaLo
